stationid,drainage_area
US09521100,638432.535
US09429600,488472.114
US09429500,488213.115
US11014000,181.558299
US11016200,339.28869
US11023000,1111.10571
US11022480,953.11632
US11025500,290.07888
US10254050,696.70731
US11042000,1442.62443
US11046050,1914.00261
US09429100,471896.178
US10259540,3872.03505
US11046000,1872.56277
US11042400,339.28869
US11044300,1605.7938
US11043000,574.97778
US11044000,1522.91412
US11042800,143.485446
US11042900,233.617098
US11047300,140.118459
US10259300,2779.05927
US11046530,282.30891
US10258500,241.128069
US10259100,1522.91412
US11069500,367.77858
US10259050,360.00861
US11070365,1450.3944
US11070150,652.67748
US11070270,241.646067
US11071900,149.960421
US10257548,683.75736
US10257549,683.75736
US09427500,473191.173
US11070210,945.34635
US11078000,4402.983
US11077500,255.373014
US11072100,580.15776
US11074000,5848.19742
US11066460,2206.67148
US11057500,323.74875
US11059300,1401.18459
US11065000,481.73814
US11051499,543.8979
US11102300,321.15876
US11087020,1144.77558
US11085000,611.23764
US11062000,120.693534
US11063510,146.334435
US10260500,347.05866
US10260950,182.076297
US11092450,409.21842
US09423500,451953.255
US11097000,396.26847
US10261500,1328.66487
US11109000,1670.54355
US11109800,1100.74575
US11113500,99.455616
US11118500,486.91812
US11113000,652.67748
US11109600,963.47628
US10262000,2825.67909
US10262500,3341.0871
US11114495,123.801522
US10263000,5493.36879
US11111500,128.204505
US11109550,797.71692
US11123000,559.43784
US11123500,717.42723
US11136500,232.840101
US11124500,191.65926
US11126000,1092.97578
US11126400,1111.10571
US11128500,1499.60421
US11132500,121.988529
US11133000,2043.50211
US11136600,106.707588
US11134000,2110.84185
US11136045,297.84885
US11138500,730.37718
US11136100,349.64865
US11140000,1219.88529
US11136710,1914.00261
US11276600,1253.55516
US11276900,1261.32513
US11278300,585.33774
US11278400,606.05766
US11176400,336.6987
US11173575,385.90851
US11276500,1183.62543
US11303500,35065.87461
US11303000,2784.23925
US11174000,95.82963
US11174160,517.998
US11277300,305.61882
US11278000,203.055216
US11179000,1639.46367
US11179100,1652.41362
US11176500,380.72853
US11176900,1043.76597
US11174600,102.304605
US11176340,574.97778
US10289000,164.723364
US11181000,97.124625
US11181040,115.513554
US10293000,929.80641
US10296000,468.78819
US10296500,647.4975
US11329500,839.15676
US10308200,714.83724
US11335000,1388.23464
US11458000,564.61782
US11446500,4889.90112
US11454000,1486.65426
US11456000,204.091212
US11466200,147.62943
US11466320,200.983224
US11452500,2949.99861
US11425500,55039.87749
US11427000,885.77658
US11465350,562.02783
US11463980,2048.68209
US11464000,2053.86207
US10337000,1310.53494
US10337500,1313.12493
US11463682,1771.55316
US11463500,1696.44345
US11453500,292.66887
US11424000,756.27708
US11424500,258.740001
US11390500,33449.72085
US11451800,2496.75036
US10338000,1432.26447
US10339410,1655.00361
US10340500,137.010471
US10344500,448.06827
US10344505,2258.47128
US11451715,245.790051
US11451000,1367.51472
US10346000,2413.87068
US11421000,3467.99661
US11418500,219.113154
US10344400,378.13854
US11451300,313.38879
US11389500,31312.9791
US11448800,127.945506
US11451100,155.917398
US11413000,647.4975
US11449255,270.653955
US11461500,238.797078
US11390000,380.72853
US11401920,206.681202
US11402000,476.55816
US11473900,1929.54255
US11383500,538.71792
US11379500,239.315076
US11377100,23050.911
US11376000,2400.92073
US11376550,924.62643
US11374000,1100.74575
US11480390,242.941062
US11355500,419.57838
US11528100,538.71792
US11372000,590.51772
US11370500,16752.05532
US11525854,2411.28069
US11525655,2097.8919
US11525500,1862.20281
US11355010,9740.95239
US11528700,1978.75236
US11526250,2737.61943
US11345500,639.72753
US11526400,2944.81863
US11342000,1100.74575
US11527000,3726.99561
US11348500,3706.27569
US11523200,385.90851
US11530000,7389.24147
US11140585,4237.22364
US11136800,2294.73114
US10251330,8394.15759
US11137900,266.76897
US11194152,6355.83546
US10251300,8003.0691
US11189500,1372.6947
US11145500,385.90851
US11147098,173.011332
US11147500,1010.0961
US11204100,248.121042
US11149400,852.10671
US11148900,419.57838
US11149900,562.02783
US11150500,6565.62465
US11224500,248.121042
US11151540,9544.11315
US11151300,603.46767
US11253310,120.175536
US11151870,292.66887
US11152000,631.95756
US11143000,120.434535
US11151700,9228.13437
US11152050,787.35696
US11255575,789.94695
US11143200,499.86807
US11156500,647.4975
US11152300,10468.73958
US11143250,639.72753
US11251000,4340.82324
US11152500,10763.99844
US11157500,538.71792
US11152650,137.787468
US11158600,1543.63404
US11159000,3071.72814
US11153000,378.13854
US11159500,3294.46728
US11159490,145.298439
US11153650,218.077158
US11169800,282.30891
US11161000,297.84885
US11169860,310.7988
US11160500,274.53894
US11170000,507.63804
US11261500,19722.77385
US11274500,347.05866
US11273400,20587.83051
US11274000,24656.7048
US11170450,533.53794
US11274550,25107.36306
US11266500,831.38679
US11264500,468.78819
US11274630,188.033274
US11289650,3983.40462
US11169025,414.3984
US11172175,826.20681
US11173200,199.688229
US11162570,131.830491
US11290000,4879.54116
US11289850,197.098239
US11173500,255.891012
US11173510,360.00861
US11164500,96.865626
US11274790,779.58699
US11465390,2646.96978
US11466800,650.08749
US11467002,3504.25647
US11467000,3465.40662
US11467200,162.651372
US11465240,453.24825
US11467510,416.98839
US11463200,221.444145
US11467553,121.988529
US11463000,1302.76497
US11467590,215.487168
US11462500,937.57638
US11462080,740.73714
US11468000,784.76697
US11468500,274.53894
US11475800,642.31752
US11475000,5457.10893
US11476500,1390.82463
US11468900,183.630291
US11469000,634.54755
US11478500,574.97778
US11479560,9360.22386
US11479700,114.477558
US11481000,1256.14515
US11481200,104.894595
US11523000,21950.16525
US11522500,1945.08249
US11516870,530.94795
US11482500,717.42723
US11518700,893.54655
US11517000,1743.06327
US11519500,1691.26347
US11530500,31338.879
US11517500,2053.86207
US11517818,15242.09115
US11516530,11991.6537
US11511990,20719.92
US11520500,17974.5306
US11521500,310.7988
US11532500,1590.25386
US14361600,146.075436
US11532650,1740.47328
