stationid,drainage_area
USGS-09521100,638432.535
USGS-09429600,488472.114
USGS-09429500,488213.115
USGS-11014000,181.558299
USGS-11016200,339.28869
USGS-11023000,1111.10571
USGS-11022480,953.11632
USGS-11025500,290.07888
USGS-10254050,696.70731
USGS-11042000,1442.62443
USGS-11046050,1914.00261
USGS-09429100,471896.178
USGS-10259540,3872.03505
USGS-11046000,1872.56277
USGS-11042400,339.28869
USGS-11044300,1605.7938
USGS-11043000,574.97778
USGS-11044000,1522.91412
USGS-11042800,143.485446
USGS-11042900,233.617098
USGS-11047300,140.118459
USGS-10259300,2779.05927
USGS-11046530,282.30891
USGS-10258500,241.128069
USGS-10259100,1522.91412
USGS-11069500,367.77858
USGS-10259050,360.00861
USGS-11070365,1450.3944
USGS-11070150,652.67748
USGS-11070270,241.646067
USGS-11071900,149.960421
USGS-10257548,683.75736
USGS-10257549,683.75736
USGS-09427500,473191.173
USGS-11070210,945.34635
USGS-11078000,4402.983
USGS-11077500,255.373014
USGS-11072100,580.15776
USGS-11074000,5848.19742
USGS-11066460,2206.67148
USGS-11057500,323.74875
USGS-11059300,1401.18459
USGS-11065000,481.73814
USGS-11051499,543.8979
USGS-11102300,321.15876
USGS-11087020,1144.77558
USGS-11085000,611.23764
USGS-11062000,120.693534
USGS-11063510,146.334435
USGS-10260500,347.05866
USGS-10260950,182.076297
USGS-11092450,409.21842
USGS-09423500,451953.255
USGS-11097000,396.26847
USGS-10261500,1328.66487
USGS-11109000,1670.54355
USGS-11109800,1100.74575
USGS-11113500,99.455616
USGS-11118500,486.91812
USGS-11113000,652.67748
USGS-11109600,963.47628
USGS-10262000,2825.67909
USGS-10262500,3341.0871
USGS-11114495,123.801522
USGS-10263000,5493.36879
USGS-11111500,128.204505
USGS-11109550,797.71692
USGS-11123000,559.43784
USGS-11123500,717.42723
USGS-11136500,232.840101
USGS-11124500,191.65926
USGS-11126000,1092.97578
USGS-11126400,1111.10571
USGS-11128500,1499.60421
USGS-11132500,121.988529
USGS-11133000,2043.50211
USGS-11136600,106.707588
USGS-11134000,2110.84185
USGS-11136045,297.84885
USGS-11138500,730.37718
USGS-11136100,349.64865
USGS-11140000,1219.88529
USGS-11136710,1914.00261
USGS-11276600,1253.55516
USGS-11276900,1261.32513
USGS-11278300,585.33774
USGS-11278400,606.05766
USGS-11176400,336.6987
USGS-11173575,385.90851
USGS-11276500,1183.62543
USGS-11303500,35065.87461
USGS-11303000,2784.23925
USGS-11174000,95.82963
USGS-11174160,517.998
USGS-11277300,305.61882
USGS-11278000,203.055216
USGS-11179000,1639.46367
USGS-11179100,1652.41362
USGS-11176500,380.72853
USGS-11176900,1043.76597
USGS-11174600,102.304605
USGS-11176340,574.97778
USGS-10289000,164.723364
USGS-11181000,97.124625
USGS-11181040,115.513554
USGS-10293000,929.80641
USGS-10296000,468.78819
USGS-10296500,647.4975
USGS-11329500,839.15676
USGS-10308200,714.83724
USGS-11335000,1388.23464
USGS-11458000,564.61782
USGS-11446500,4889.90112
USGS-11454000,1486.65426
USGS-11456000,204.091212
USGS-11466200,147.62943
USGS-11466320,200.983224
USGS-11452500,2949.99861
USGS-11425500,55039.87749
USGS-11427000,885.77658
USGS-11465350,562.02783
USGS-11463980,2048.68209
USGS-11464000,2053.86207
USGS-10337000,1310.53494
USGS-10337500,1313.12493
USGS-11463682,1771.55316
USGS-11463500,1696.44345
USGS-11453500,292.66887
USGS-11424000,756.27708
USGS-11424500,258.740001
USGS-11390500,33449.72085
USGS-11451800,2496.75036
USGS-10338000,1432.26447
USGS-10339410,1655.00361
USGS-10340500,137.010471
USGS-10344500,448.06827
USGS-10344505,2258.47128
USGS-11451715,245.790051
USGS-11451000,1367.51472
USGS-10346000,2413.87068
USGS-11421000,3467.99661
USGS-11418500,219.113154
USGS-10344400,378.13854
USGS-11451300,313.38879
USGS-11389500,31312.9791
USGS-11448800,127.945506
USGS-11451100,155.917398
USGS-11413000,647.4975
USGS-11449255,270.653955
USGS-11461500,238.797078
USGS-11390000,380.72853
USGS-11401920,206.681202
USGS-11402000,476.55816
USGS-11473900,1929.54255
USGS-11383500,538.71792
USGS-11379500,239.315076
USGS-11377100,23050.911
USGS-11376000,2400.92073
USGS-11376550,924.62643
USGS-11374000,1100.74575
USGS-11480390,242.941062
USGS-11355500,419.57838
USGS-11528100,538.71792
USGS-11372000,590.51772
USGS-11370500,16752.05532
USGS-11525854,2411.28069
USGS-11525655,2097.8919
USGS-11525500,1862.20281
USGS-11355010,9740.95239
USGS-11528700,1978.75236
USGS-11526250,2737.61943
USGS-11345500,639.72753
USGS-11526400,2944.81863
USGS-11342000,1100.74575
USGS-11527000,3726.99561
USGS-11348500,3706.27569
USGS-11523200,385.90851
USGS-11530000,7389.24147
USGS-11140585,4237.22364
USGS-11136800,2294.73114
USGS-10251330,8394.15759
USGS-11137900,266.76897
USGS-11194152,6355.83546
USGS-10251300,8003.0691
USGS-11189500,1372.6947
USGS-11145500,385.90851
USGS-11147098,173.011332
USGS-11147500,1010.0961
