OBJECTID,PourPtID,AreaSqKm,ORIG_FID,Shape_Length,Shape_Area
1,US10254050,663.2693999,1,242340,663269400
2,US10293000,930.4298999,2,217200,930429900
3,US10296500,630.9504,3,206460,630950400
4,US10308200,715.7547001,4,197220,715754700
5,US10346000,2414.8395,5,415320,2414839500
6,US11014000,181.9349999,6,81000,181935000
7,US11016200,338.8482002,7,178320,338848200
8,US11023000,1112.5728,8,280080,1112572800
9,US11025500,288.9504,9,136260,288950400
10,US11042000,1439.316,10,353640,1439316000
11,US11046530,285.2990999,11,124080,285299100
12,US11047300,140.2164,12,115380,140216400
13,US11057500,314.5275,13,140280,314527500
14,US11059300,1098.8469,14,270660,1098846900
15,US11062000,120.0735,15,78540,120073500
16,US11063510,146.799,16,87360,146799000
17,US11070365,1439.1504,17,368220,1439150400
18,US11077500,244.1277,18,139020,244127700
19,US11092450,408.6495003,19,157380,408649500
20,US11097000,396.1026001,20,154920,396102600
21,US11102300,1455.7239,21,253500,1455723900
22,US11109000,1672.0965,22,303480,1672096500
23,US11109800,1083.4281,23,271200,1083428100
24,US11113000,651.0338999,24,220380,651033900
25,US11113500,99.72629989,25,59520,99726300
26,US11118500,485.7147,26,154380,485714700
27,US11133000,2044.3815,27,400440,2044381500
28,US11136100,352.1223,28,153120,352122300
29,US11136800,2293.8147,29,437220,2293814700
30,US11137900,268.5527999,30,118140,268552800
31,US11140000,1220.6187,31,286380,1220618700
32,US11143000,120.7890001,32,68820,120789000
33,US11143250,638.0955001,33,183420,638095500
34,US11152650,276.2946001,34,115620,276294600
35,US11159500,3290.1273,35,691020,3290127300
36,US11161000,297.4671001,36,124320,297467100
37,US11162570,132.0624001,37,74100,132062400
38,US11164500,97.47899994,38,78420,97479000
39,US11169025,384.9138001,39,155640,384913800
40,US11172175,818.2295999,40,281040,818229600
41,US11179100,1649.4687,41,344100,1649468700
42,US11181040,121.6610999,42,96120,121661100
43,US11189500,1371.5046,43,325800,1371504600
44,US11204100,249.1308,44,94380,249130800
45,US11224500,247.6881,45,102420,247688100
46,US11253310,120.3246001,46,82500,120324600
47,US11255575,782.9010001,47,202560,782901000
48,US11266500,833.058,48,184980,833058000
49,US11274500,349.4925,49,160080,349492500
50,US11274630,188.3330998,50,106980,188333100
51,US11276600,1253.4966,51,326640,1253496600
52,US11278400,605.0223,52,187560,605022300
53,US11289850,196.7949001,53,104220,196794900
54,US11335000,1343.7351,54,280560,1343735100
55,US11342000,1086.2829,55,250800,1086282900
56,US11345500,2770.4367,56,120,900
57,US11345500,2770.4367,56,120,900.0000001
58,US11345500,2770.4367,56,120,900.0000001
59,US11345500,2770.4367,56,120,900.0000001
60,US11345500,2770.4367,56,120,899.9999999
61,US11345500,2770.4367,56,437280,2770432200
62,US11355500,236.8836003,57,120,900.0000001
63,US11355500,236.8836003,57,120,899.9999999
64,US11355500,236.8836003,57,106440,236881800
65,US11372000,590.9598,58,202860,590959800
66,US11374000,1094.7762,59,225660,1094776200
67,US11376550,928.5048003,60,226020,928504800
68,US11379500,239.4404999,61,106320,239440500
69,US11383500,542.0925,62,231660,542092500
70,US11390000,383.7023999,63,200220,383702400
71,US11402000,476.2961999,64,171600,476296200
72,US11421000,3456.0387,65,521880,3456038700
73,US11424000,756.4607997,66,286080,756460800
74,US11424500,269.0415001,67,149400,269041500
75,US11427000,886.7961,68,274860,886796100
76,US11451300,312.4170002,69,135960,312417000
77,US11451715,247.5972001,70,168120,247597200
78,US11454000,1491.895801,71,319200,1491895800
79,US11458000,566.1225001,72,179040,566122500
80,US11464000,2052.0306,73,459720,2052030600
81,US11465350,564.9866999,74,232980,564986700
82,US11466800,652.4019,75,181620,652401900
83,US11467200,162.6957001,76,83700,162695700
84,US11467510,417.9527999,77,144660,417952800
85,US11467553,121.725,78,85800,121725000
86,US11467590,214.8777,79,139320,214877700
87,US11468000,785.7234001,80,239040,785723400
88,US11468500,273.5595,81,127260,273559500
89,US11469000,636.0182997,82,201180,636018300
90,US11476500,1390.5441,83,303840,1390544100
91,US11478500,572.9642999,84,202260,572964300
92,US11481000,1256.816701,85,441180,1256816700
93,US11481200,105.2460001,86,76080,105246000
94,US11482500,718.3691999,87,299760,718369200
95,US11517500,1982.5083,88,309420,1982508300
96,US11519500,1713.6117,89,276960,1713611700
97,US11521500,309.5307003,90,115140,309530700
98,US11522500,1943.9739,91,298680,1943973900
99,US11528700,1980.4275,92,311880,1980427500
100,US11532650,1739.9961,93,315300,1739996100
101,US14361600,145.9853999,94,84240,145985400
102,US11449255,272.2662001,95,131040,272266200
103,US11329500,2481.7536,96,511380,2481753600
104,US11479700,114.4341001,97,69840,114434100
105,US10259540,3766.6872,99,441060,3766687200
106,US10263000,4381.6014,100,778080,4381601400
107,US11251000,4344.6312,101,544920,4344631200
108,US11475000,5456.8197,102,656040,5456819700
109,US11527000,3727.0242,103,536760,3727024200
