AreaSqKm,ORIG_FID,PourPtID,Shape_Area,Shape_Leng,et_mm,model,openet_version,year,month,year_month,units
663.269399935,1,US10254050,663269400.0,242340.0,2.3666195715977483,eemetric,2.0,2000,1,2000-01,mm
930.429899917,2,US10293000,930429900.0,217200.0,5.240759394426153,eemetric,2.0,2000,1,2000-01,mm
630.950400039,3,US10296500,630950400.0,206460.0,3.0073606118028717,eemetric,2.0,2000,1,2000-01,mm
715.754700075,4,US10308200,715754700.0,197220.0,6.81893782473537,eemetric,2.0,2000,1,2000-01,mm
2414.83949992,5,US10346000,2414839500.0,415320.0,10.665983505464023,eemetric,2.0,2000,1,2000-01,mm
181.934999934,6,US11014000,181935000.0,81000.0,21.248188725232755,eemetric,2.0,2000,1,2000-01,mm
338.848200244,7,US11016200,338848200.0,178320.0,27.549077722728896,eemetric,2.0,2000,1,2000-01,mm
1112.57280013,8,US11023000,1112572800.0,280080.0,28.79473831167275,eemetric,2.0,2000,1,2000-01,mm
288.950400036,9,US11025500,288950400.0,136260.0,25.528885340985926,eemetric,2.0,2000,1,2000-01,mm
1439.31600004,10,US11042000,1439316000.0,353640.0,31.242798587042984,eemetric,2.0,2000,1,2000-01,mm
285.299099907,11,US11046530,285299100.0,124080.0,16.749887170161458,eemetric,2.0,2000,1,2000-01,mm
140.216400039,12,US11047300,140216400.0,115380.0,16.917572728190365,eemetric,2.0,2000,1,2000-01,mm
314.527499988,13,US11057500,314527500.0,140280.0,9.565763627202925,eemetric,2.0,2000,1,2000-01,mm
1098.84689995,14,US11059300,1098846900.0,270660.0,12.302824648106622,eemetric,2.0,2000,1,2000-01,mm
120.073500007,15,US11062000,120073500.0,78540.0,20.448947239347014,eemetric,2.0,2000,1,2000-01,mm
146.798999974,16,US11063510,146799000.0,87360.0,11.475546110656255,eemetric,2.0,2000,1,2000-01,mm
1439.15040018,17,US11070365,1439150400.0,368220.0,13.245262931137251,eemetric,2.0,2000,1,2000-01,mm
244.127700046,18,US11077500,244127700.0,139020.0,15.230593511764289,eemetric,2.0,2000,1,2000-01,mm
