AreaSqKm,ORIG_FID,PourPtID,Shape_Area,Shape_Leng,et_mm,model,openet_version,year,month,year_month,units
663.269399935,1,US10254050,663269400.0,242340.0,3.8951379985904144,geesebal,2.0,2000,1,2000-01,mm
930.429899917,2,US10293000,930429900.0,217200.0,11.09280025460472,geesebal,2.0,2000,1,2000-01,mm
630.950400039,3,US10296500,630950400.0,206460.0,7.361753197616013,geesebal,2.0,2000,1,2000-01,mm
715.754700075,4,US10308200,715754700.0,197220.0,5.90883680250501,geesebal,2.0,2000,1,2000-01,mm
2414.83949992,5,US10346000,2414839500.0,415320.0,9.005464583117138,geesebal,2.0,2000,1,2000-01,mm
181.934999934,6,US11014000,181935000.0,81000.0,12.984893638265763,geesebal,2.0,2000,1,2000-01,mm
338.848200244,7,US11016200,338848200.0,178320.0,12.437185009424416,geesebal,2.0,2000,1,2000-01,mm
1112.57280013,8,US11023000,1112572800.0,280080.0,17.473054283232564,geesebal,2.0,2000,1,2000-01,mm
288.950400036,9,US11025500,288950400.0,136260.0,10.819237448656429,geesebal,2.0,2000,1,2000-01,mm
1439.31600004,10,US11042000,1439316000.0,353640.0,18.71440622199416,geesebal,2.0,2000,1,2000-01,mm
285.299099907,11,US11046530,285299100.0,124080.0,15.156601723254267,geesebal,2.0,2000,1,2000-01,mm
140.216400039,12,US11047300,140216400.0,115380.0,15.950356208305994,geesebal,2.0,2000,1,2000-01,mm
314.527499988,13,US11057500,314527500.0,140280.0,27.71019087524071,geesebal,2.0,2000,1,2000-01,mm
1098.84689995,14,US11059300,1098846900.0,270660.0,25.98001149914583,geesebal,2.0,2000,1,2000-01,mm
120.073500007,15,US11062000,120073500.0,78540.0,12.62570326083966,geesebal,2.0,2000,1,2000-01,mm
146.798999974,16,US11063510,146799000.0,87360.0,15.026827557527833,geesebal,2.0,2000,1,2000-01,mm
1439.15040018,17,US11070365,1439150400.0,368220.0,21.25706054349975,geesebal,2.0,2000,1,2000-01,mm
244.127700046,18,US11077500,244127700.0,139020.0,19.737567759117702,geesebal,2.0,2000,1,2000-01,mm
408.6495003,19,US11092450,408649500.0,157380.0,18.32386512084338,geesebal,2.0,2000,1,2000-01,mm
396.102600109,20,US11097000,396102600.0,154920.0,17.0569956907876,geesebal,2.0,2000,1,2000-01,mm
1455.72389965,21,US11102300,1455723900.0,253500.0,24.78808422814681,geesebal,2.0,2000,1,2000-01,mm
1672.09649993,22,US11109000,1672096500.0,303480.0,15.39073973408951,geesebal,2.0,2000,1,2000-01,mm
1083.42810003,23,US11109800,1083428100.0,271200.0,10.62401868873796,geesebal,2.0,2000,1,2000-01,mm
651.033899883,24,US11113000,651033900.0,220380.0,7.417347711268554,geesebal,2.0,2000,1,2000-01,mm
99.7262998876,25,US11113500,99726300.0,59520.0,10.415019784727496,geesebal,2.0,2000,1,2000-01,mm
485.714699969,26,US11118500,485714700.0,154380.0,8.535336964417246,geesebal,2.0,2000,1,2000-01,mm
2044.38150015,27,US11133000,2044381500.0,400440.0,11.675557216085044,geesebal,2.0,2000,1,2000-01,mm
352.122300002,28,US11136100,352122300.0,153120.0,12.227698126409331,geesebal,2.0,2000,1,2000-01,mm
2293.81470004,29,US11136800,2293814700.0,437220.0,7.969998523794261,geesebal,2.0,2000,1,2000-01,mm
268.552799881,30,US11137900,268552800.0,118140.0,6.278247263952392,geesebal,2.0,2000,1,2000-01,mm
1220.61870006,31,US11140000,1220618700.0,286380.0,10.14454423756107,geesebal,2.0,2000,1,2000-01,mm
120.789000086,32,US11143000,120789000.0,68820.0,6.310185804576376,geesebal,2.0,2000,1,2000-01,mm
638.095500133,33,US11143250,638095500.0,183420.0,5.009530731975357,geesebal,2.0,2000,1,2000-01,mm
276.294600115,34,US11152650,276294600.0,115620.0,11.29101877022584,geesebal,2.0,2000,1,2000-01,mm
3290.1272999,35,US11159500,3290127300.0,691020.0,10.252662134784712,geesebal,2.0,2000,1,2000-01,mm
297.467100063,36,US11161000,297467100.0,124320.0,12.176639404929514,geesebal,2.0,2000,1,2000-01,mm
132.062400073,37,US11162570,132062400.0,74100.0000001,7.682377159145714,geesebal,2.0,2000,1,2000-01,mm
97.4789999435,38,US11164500,97479000.0,78420.0,12.175782152640531,geesebal,2.0,2000,1,2000-01,mm
384.913800084,39,US11169025,384913800.0,155640.0,11.10471273859686,geesebal,2.0,2000,1,2000-01,mm
818.229599946,40,US11172175,818229600.0,281040.0,12.964297566452275,geesebal,2.0,2000,1,2000-01,mm
1649.46870012,41,US11179100,1649468700.0,344100.0,9.09803461902706,geesebal,2.0,2000,1,2000-01,mm
121.661099923,42,US11181040,121661100.0,96120.0000001,9.171455400277171,geesebal,2.0,2000,1,2000-01,mm
1371.50459983,43,US11189500,1371504600.0,325800.0,4.956635900996687,geesebal,2.0,2000,1,2000-01,mm
249.130800011,44,US11204100,249130800.0,94379.9999998,10.013840015598468,geesebal,2.0,2000,1,2000-01,mm
247.688100012,45,US11224500,247688100.0,102420.0,9.714682531542948,geesebal,2.0,2000,1,2000-01,mm
120.324600111,46,US11253310,120324600.0,82499.9999999,6.168716146845045,geesebal,2.0,2000,1,2000-01,mm
782.901000054,47,US11255575,782901000.0,202560.0,2.5544264330515274,geesebal,2.0,2000,1,2000-01,mm
833.058000001,48,US11266500,833058000.0,184980.0,19.70407915096402,geesebal,2.0,2000,1,2000-01,mm
349.492499982,49,US11274500,349492500.0,160080.0,7.559397824247414,geesebal,2.0,2000,1,2000-01,mm
188.333099841,50,US11274630,188333100.0,106980.0,5.326370724973207,geesebal,2.0,2000,1,2000-01,mm
1253.49660014,51,US11276600,1253496600.0,326640.0,10.318637959292818,geesebal,2.0,2000,1,2000-01,mm
605.02229997,52,US11278400,605022300.0,187560.0,11.61653326757603,geesebal,2.0,2000,1,2000-01,mm
196.794900069,53,US11289850,196794900.0,104220.0,20.63585019369356,geesebal,2.0,2000,1,2000-01,mm
1343.73509998,54,US11335000,1343735100.0,280560.0,18.715166357459164,geesebal,2.0,2000,1,2000-01,mm
