AreaSqKm,ORIG_FID,PourPtID,Shape_Area,Shape_Leng,et_mm,model,openet_version,year,month,year_month,units
663.269399935,1,US10254050,663269400.0,242340.0,9.66405831871651,ptjpl,2.0,2000,1,2000-01,mm
930.429899917,2,US10293000,930429900.0,217200.0,12.25102897514762,ptjpl,2.0,2000,1,2000-01,mm
630.950400039,3,US10296500,630950400.0,206460.0,10.617282035702583,ptjpl,2.0,2000,1,2000-01,mm
715.754700075,4,US10308200,715754700.0,197220.0,12.288779809470354,ptjpl,2.0,2000,1,2000-01,mm
2414.83949992,5,US10346000,2414839500.0,415320.0,17.136268550172083,ptjpl,2.0,2000,1,2000-01,mm
181.934999934,6,US11014000,181935000.0,81000.0,36.25156881502281,ptjpl,2.0,2000,1,2000-01,mm
338.848200244,7,US11016200,338848200.0,178320.0,35.665782979084376,ptjpl,2.0,2000,1,2000-01,mm
1112.57280013,8,US11023000,1112572800.0,280080.0,42.34021905270435,ptjpl,2.0,2000,1,2000-01,mm
288.950400036,9,US11025500,288950400.0,136260.0,35.873733014265525,ptjpl,2.0,2000,1,2000-01,mm
1439.31600004,10,US11042000,1439316000.0,353640.0,41.34385790569605,ptjpl,2.0,2000,1,2000-01,mm
285.299099907,11,US11046530,285299100.0,124080.0,46.34344203376939,ptjpl,2.0,2000,1,2000-01,mm
140.216400039,12,US11047300,140216400.0,115380.0,47.35816235711916,ptjpl,2.0,2000,1,2000-01,mm
314.527499988,13,US11057500,314527500.0,140280.0,30.260928183772005,ptjpl,2.0,2000,1,2000-01,mm
1098.84689995,14,US11059300,1098846900.0,270660.0,28.750664191709063,ptjpl,2.0,2000,1,2000-01,mm
120.073500007,15,US11062000,120073500.0,78540.0,29.65441842502051,ptjpl,2.0,2000,1,2000-01,mm
146.798999974,16,US11063510,146799000.0,87360.0,27.570248491941125,ptjpl,2.0,2000,1,2000-01,mm
1439.15040018,17,US11070365,1439150400.0,368220.0,35.070033322938365,ptjpl,2.0,2000,1,2000-01,mm
244.127700046,18,US11077500,244127700.0,139020.0,43.55439485918215,ptjpl,2.0,2000,1,2000-01,mm
