water_year,AgEra-5_precipitation_mm,prism_precipitation_mm,rdpa_precipitation_mm,nclimgrid_precipitation_mm,gridmet_precipitation_mm,chirps_precipitation_mm,ensemble_et_mm,disalexi_et_mm,eemetric_et_mm,ptjpl_et_mm,ssebop_et_mm,geesebal_et_mm,q_mm,wbet_AgEra-5_mm,wbet_prism_mm,wbet_rdpa_mm,wbet_nclimgrid_mm,wbet_gridmet_mm,wbet_chirps_mm
2004,918.1751140062413,623.4528933118233,697.5641508255978,630.5466437112376,667.9141808488057,649.7791023185895,595.9709768342912,588.7169758673937,441.3337095853282,778.050120017224,532.7750841834771,657.9560042237238,66.12755695014604,852.0475570560952,557.3253363616773,631.4365938754518,564.4190867610915,601.7866238986596,583.6515453684435
2005,959.2405797784947,744.8370727430885,430.2536515117538,768.0036965625101,722.3652844802077,692.6749459834767,583.9719536172599,606.4319465638622,421.4554605349607,816.2906586062765,526.5644441656775,587.4109069470113,66.64315890647218,892.5974208720226,678.1939138366163,363.6104926052816,701.3605376560379,655.7221255737355,626.0317870770045
2006,1285.7481819218083,1020.544061954239,650.6867611380144,1068.7644444486887,1008.1629960534357,891.7219681261347,559.2814838488163,568.3283755336385,380.5064054535578,723.9832775029543,518.2940893900392,615.7773349625692,155.67503008033864,1130.0731518414696,864.8690318739003,495.0117310576758,913.0894143683499,852.487965973097,736.0469380457961
2007,748.6740927978631,542.9256708550066,401.5309041034317,554.7887522054783,569.7499102168331,560.260863449022,587.7900516111033,585.9199326239788,426.7402902129526,773.9736094850099,539.6217625404804,639.826185920152,70.06726031555829,678.6068324823049,472.85841053944824,331.4636437878734,484.72149188992,499.6826499012748,490.1936031334638
2008,742.5805721907216,566.068146022226,395.95821562190713,590.2249680635333,578.0304498345146,542.0552673822543,546.9519161796096,545.004169978612,419.5752556025763,714.5032908287302,521.7709135324526,567.3219152928824,59.09210044502012,683.4884717457014,506.9760455772059,336.866115176887,531.1328676185133,518.9383493894944,482.96316693723423
2009,797.8964647815023,508.4221121868834,378.9163202283788,552.1362536662494,597.618550607661,546.5777230738785,549.9029923934216,505.5673986365753,426.1394466406826,685.1608973266142,544.4987871012016,597.5779824214922,43.77646197361249,754.1200028078898,464.6456502132709,335.1398582547663,508.359791692637,553.8420886340484,502.80126110026595
2010,930.2498982692475,626.002714790801,378.0278925703841,699.2144285520611,603.511840801344,673.129010555866,538.1209112929278,514.9494764865188,404.0538234984606,752.0494446394553,510.697980051436,603.3795905181526,47.39017261158475,882.8597256576627,578.6125421792162,330.6377199587993,651.8242559404763,556.1216681897592,625.7388379442812
2011,1114.8577572157544,760.2887584690783,564.8561530496797,882.5712479186403,760.5640867631755,809.0464763501512,552.0834845448941,579.2144796089368,389.26956468219447,724.3930493067737,515.9711884708272,569.1015164628852,92.23517026847601,1022.6225869472784,668.0535882006023,472.62098278120374,790.3360776501643,668.3289164946996,716.8113060816752
2012,820.8465116698932,513.3742286353704,320.8885831456,589.7437339601604,526.0790023075091,579.8010521409796,591.7299755213734,548.7866599078884,465.52366113248286,752.2164754742683,560.3487429720635,654.5158154935934,58.809078512832784,762.0374331570605,454.5651501225376,262.0795046327672,530.9346554473276,467.2699237946763,520.9919736281468
2013,829.3704018714649,601.6420508924145,422.71594960809506,598.591564810501,615.7188007503,583.5024951731934,568.7164580601238,510.01534971514644,418.86451677608005,741.2851442559471,568.7943462202405,583.3880233485856,46.90300371191803,782.4673981595469,554.7390471804965,375.812945896177,551.6885610985829,568.815797038382,536.5994914612753
2014,538.2453320165142,381.44695851558714,317.6682919148639,436.0554711130124,468.1700355732647,485.4719869822925,597.8272689066314,555.5481181387057,433.80446838963553,779.7026962499292,587.7808635421203,637.8287917490818,38.133202130625726,500.1121298858886,343.31375638496144,279.5350897842382,397.9222689823867,430.036833442639,447.33878485166673
2015,794.9138920922469,636.8163244384556,457.3784875833093,685.1230353583,675.9991471604546,675.2108812210843,668.5856593195509,603.2339798237396,604.0301261696823,815.0558327592496,587.6979530667413,717.9446021734481,57.34780974736115,737.5660823448858,579.4685146910945,400.03067783594815,627.7752256109387,618.6513374130935,617.8630714737232
2016,1020.9314805089401,750.546908969342,496.5932250387743,804.1841039458011,793.5884758248828,771.4135117468545,643.8525219585165,603.2025845777107,469.7628381645318,888.8024065205211,565.9878647170093,685.0133156267414,68.41873786313295,952.5127426458072,682.128171106209,428.17448717564133,735.7653660826682,725.1697379617499,702.9947738837216
2018,714.420667524576,432.04041986104545,299.4772709169055,449.7540529238339,449.76208771707593,473.06168810935964,612.7868028419783,606.2590123346602,448.28870531670634,771.0043115710386,560.8451152103298,612.9564426212299,53.93917401762954,660.4814935069464,378.10124584341594,245.538096899276,395.8148789062044,395.82291369944636,419.1225140917301
2019,1092.1808843330793,731.5408320578869,471.406213454006,782.6773908431613,752.6394083775185,727.1601059832278,591.4160579555357,602.7039516703877,412.20986559886376,797.0042195158333,526.1348122129068,608.6296061143549,63.40048181289078,1028.7804025201888,668.1403502449961,408.0057316411152,719.2769090302705,689.2389265646277,663.759624170337
2020,599.7505892427471,349.08112962989816,298.56183538807903,397.89908148047743,356.3703159305992,432.30266515738145,593.2254895972331,580.7146273845335,425.2709782542089,786.8508272313098,527.6871180780336,667.4238391814681,42.69305544480054,557.0575337979465,306.3880741850976,255.86877994327847,355.2060260356769,313.6772604857986,389.6096097125809
2021,543.596831574927,332.17852802201463,295.4292635195996,386.38734805115956,344.1212202010402,410.2242504942028,579.573338367889,582.2378089049814,405.2797832495012,772.7870087045601,524.0842168234143,622.2593111384954,35.85491721488518,507.7419143600418,296.32361080712946,259.5743463047144,350.5324308362744,308.26630298615504,374.3693332793176
2022,711.906877754404,435.67012701938944,274.4613494357011,453.3330725268097,437.03034624852614,501.1162194180921,533.7773819228352,489.8208169659436,407.0243728843343,741.3731080884485,474.497597363082,577.3537640405959,43.4322673312399,668.4746104231642,392.2378596881495,231.02908210446122,409.90080519556983,393.5980789172863,457.68395208685223
2023,1106.5818335250046,713.9098139198378,407.51326096900465,686.5808486698394,702.9986635637379,739.3728101795742,564.0792514667896,555.2129108507277,411.18448017051264,749.9900588801855,488.3775564073102,613.6409484722913,48.44505091032586,1058.1367826146786,665.4647630095119,359.0682100586788,638.1357977595135,654.5536126534121,690.9277592692483
